"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2025-08-01T01:35:43.445Z,Album,"The Cure - Songs Of A Lost World","The Cure - A Fragile Thing",false,"United States",1768728131,1768728137,siri,2025-08-01T01:35:43.445Z,NATURAL_END_OF_TRACK,2025-08-01T01:40:26.575Z,2025-08-01T01:40:26.649Z,2025-08-01T01:35:43.445Z,283130,283130,283130,AUDIO,0,1,0,283130
2025-08-01T01:28:50.456Z,Album,"The Cure - Songs Of A Lost World","The Cure - And Nothing Is Forever",false,"United States",1768728131,1768728136,siri,2025-08-01T01:28:50.456Z,NATURAL_END_OF_TRACK,2025-08-01T01:35:43.561Z,2025-08-01T01:35:43.779Z,2025-08-01T01:28:50.456Z,413105,413105,413105,AUDIO,0,1,0,413105
2025-08-01T01:22:01.734Z,Album,"The Cure - Songs Of A Lost World","The Cure - Alone",false,"United States",1768728131,1768728135,siri,2025-08-01T01:22:01.734Z,NATURAL_END_OF_TRACK,2025-08-01T01:28:50.424Z,2025-08-01T01:28:50.458Z,2025-08-01T01:22:01.734Z,408690,408690,408690,AUDIO,0,1,0,408690
2025-07-31T01:41:32.262Z,Album,"Tears for Fears - The Tipping Point","Tears for Fears - Please Be Happy",false,"United States",1586912660,1586912667,"search / artist_detail / album_detail",2025-07-31T01:41:32.262Z,PLAYBACK_MANUALLY_PAUSED,2025-08-01T01:17:39.764Z,2025-08-01T01:17:39.793Z,2025-08-01T01:17:34.904Z,61809,35290,185845,AUDIO,0,1,0,61732
2025-07-31T22:21:41.434Z,"Radio Station",N/A,"Paula Abdul - Opposites Attract",false,"United States",ra.1055200360,723700277,voice_control,2025-07-31T22:21:41.434Z,PLAYBACK_MANUALLY_PAUSED,2025-07-31T22:24:15.434Z,2025-07-31T22:24:15.434Z,2025-07-31T22:21:41.434Z,154000,154000,265000,AUDIO,0,1,0,154000
2025-07-31T22:17:47.370Z,"Radio Station",N/A,"Huey Lewis and the News - The Power of Love",false,"United States",ra.1055200360,725785116,voice_control,2025-07-31T22:17:47.370Z,NATURAL_END_OF_TRACK,2025-07-31T22:21:41.370Z,2025-07-31T22:21:41.370Z,2025-07-31T22:17:47.370Z,234000,234000,234000,AUDIO,0,1,0,234000
2025-07-31T22:11:25.234Z,"Radio Station",N/A,"Afrika Bambaataa & The Soulsonic Force - Planet Rock",false,"United States",ra.1055200360,1604623462,voice_control,2025-07-31T22:11:25.234Z,NATURAL_END_OF_TRACK,2025-07-31T22:17:47.234Z,2025-07-31T22:17:47.234Z,2025-07-31T22:11:25.234Z,382000,382000,382000,AUDIO,0,1,0,382000
2025-07-31T22:07:39.818Z,"Radio Station",N/A,"Poison - Nothin' But a Good Time",false,"United States",ra.1055200360,716552513,voice_control,2025-07-31T22:07:39.818Z,NATURAL_END_OF_TRACK,2025-07-31T22:11:24.818Z,2025-07-31T22:11:24.818Z,2025-07-31T22:07:39.818Z,225000,225000,225000,AUDIO,0,1,0,225000
2025-07-31T22:04:04.002Z,"Radio Station",N/A,"Fine Young Cannibals - She Drives Me Crazy",false,"United States",ra.1055200360,1313940402,voice_control,2025-07-31T22:04:04.002Z,NATURAL_END_OF_TRACK,2025-07-31T22:07:40.002Z,2025-07-31T22:07:40.002Z,2025-07-31T22:04:04.002Z,216000,216000,216000,AUDIO,0,1,0,216000
2025-07-31T21:59:51.250Z,"Radio Station",N/A,"Toni Basil - Hey Mickey",false,"United States",ra.1055200360,1496273042,voice_control,2025-07-31T21:59:51.250Z,NATURAL_END_OF_TRACK,2025-07-31T22:04:04.250Z,2025-07-31T22:04:04.250Z,2025-07-31T21:59:51.250Z,253000,253000,253000,AUDIO,0,1,0,253000
